x_ngram,file_count
x105_x146_x153,221
x73_x72_x73,485
x1_x29_x10,714
x60_x6_x84,570
x96_x18_x7,868
x142_x54_x17,398
x184_x185_x88,212
x121_x170_x9,307
x32_x10_x10,1092
x6_x84_x87,612
x181_x198_x74,436
x29_x10_x10,541
x9_x26_x143,211
x37_x16_x31,213
x170_x95_x96,413
x138_x197_x154,207
x7_x84_x172,206
x185_x88_x43,212
x142_x54_x52,245
x198_x204_x196,206
x131_x170_x95,260
x73_x74_x158,688
x16_x17_x170,637
x9_x12_x183,410
x186_x153_x96,263
x4_x14_x15,1072
x96_x170_x9,760
x25_x84_x87,206
x47_x36_x49,233
x66_x176_x195,206
x163_x163_x186,663
x186_x32_x55,209
x114_x25_x30,208
x159_x184_x187,212
x7_x84_x87,683
x179_x180_x177,210
x7_x8_x137,894
x199_x199_x200,206
x158_x181_x182,243
x186_x32_x105,228
x84_x172_x173,216
x196_x60_x4,209
x49_x5_x3,376
x6_x30_x193,206
x198_x131_x170,264
x182_x167_x10,682
x10_x26_x143,226
x13_x16_x17,304
x95_x209_x196,206
x10_x10_x105,804
x7_x16_x176,1424
x17_x170_x9,652
x72_x181_x199,407
x9_x12_x15,1602
x60_x6_x16,335
x73_x72_x53,395
x16_x176_x163,1169
x87_x60_x6,682
x95_x146_x125,271
x143_x124_x32,262
x15_x14_x13,1532
x17_x191_x17,427
x154_x186_x178,209
x16_x31_x178,213
x56_x82_x5,632
x208_x53_x101,211
x17_x170_x5,637
x163_x121_x170,285
x170_x9_x10,792
x192_x3_x6,1014
x175_x173_x49,217
x15_x95_x96,230
x191_x31_x153,216
x167_x12_x89,206
x72_x53_x101,210
x181_x199_x199,605
x205_x194_x60,206
x12_x183_x17,391
x32_x55_x59,328
x183_x176_x186,221
x163_x186_x153,233
x9_x10_x55,943
x191_x17_x18,534
x8_x137_x143,273
x184_x187_x173,212
x208_x181_x198,210
x173_x49_x47,214
x176_x186_x32,546
x32_x10_x55,927
x14_x15_x95,239
x198_x72_x73,632
x12_x15_x9,1348
x183_x176_x121,391
x183_x17_x170,265
x8_x9_x105,458
x8_x9_x26,363
x17_x170_x95,409
x121_x170_x179,259
x188_x57_x7,211
x95_x96_x18,844
x8_x9_x55,933
x183_x17_x18,812
x32_x26_x140,229
x105_x146_x125,373
x172_x173_x49,213
x105_x96_x170,237
x154_x158_x181,341
x101_x95_x208,209
x158_x73_x74,667
x72_x73_x131,391
x36_x49_x47,214
x190_x17_x18,311
x66_x176_x163,251
x62_x167_x10,671
x143_x204_x196,206
x163_x186_x192,215
x32_x12_x15,226
x15_x95_x146,218
x154_x186_x32,455
x7_x8_x95,987
x26_x140_x142,227
x3_x6_x30,783
x124_x32_x10,484
x60_x66_x176,211
x175_x173_x190,210
x154_x186_x161,329
x186_x178_x59,209
x158_x181_x198,489
x101_x9_x10,543
x83_x59_x60,687
x16_x31_x32,1178
x3_x4_x9,1071
x72_x205_x194,206
x66_x31_x153,211
x32_x26_x143,207
x105_x154_x163,239
x163_x163_x163,1075
x199_x199_x142,415
x32_x10_x12,377
x85_x57_x8,209
x167_x10_x55,795
x174_x210_x211,353
x174_x2_x42,379
x153_x154_x186,433
x154_x186_x153,480
x32_x10_x26,337
x161_x138_x197,207
x159_x184_x185,213
x171_x172_x173,213
x170_x14_x15,227
x204_x196_x60,209
x209_x196_x60,214
x83_x56_x57,215
x153_x154_x158,213
x26_x143_x204,206
x10_x105_x208,252
x55_x56_x82,430
x170_x5_x1,216
x96_x191_x17,219
x32_x105_x154,338
x197_x154_x186,208
x43_x49_x9,223
x97_x22_x6,451
x53_x101_x9,268
x122_x62_x167,350
x55_x59_x174,1293
x8_x83_x56,215
x170_x95_x208,389
x163_x155_x156,212
x3_x66_x176,744
x59_x60_x66,215
x13_x7_x16,1033
x96_x171_x172,213
x66_x176_x186,735
x196_x174_x210,202
x180_x177_x10,265
x154_x163_x155,213
x8_x14_x183,884
x125_x15_x9,451
x49_x47_x36,215
x12_x15_x14,793
x60_x4_x95,214
x199_x199_x199,662
x95_x96_x171,213
x54_x17_x122,360
x87_x60_x66,211
x31_x125_x13,395
x146_x125_x15,233
x95_x208_x73,384
x153_x96_x191,219
x176_x121_x170,465
x176_x163_x186,694
x151_x202_x199,206
x153_x146_x153,220
x31_x153_x154,332
x8_x179_x180,213
x186_x153_x154,477
x30_x193_x194,206
x95_x154_x121,389
x163_x195_x196,211
x24_x206_x207,428
x195_x196_x60,211
x9_x10_x105,428
x173_x190_x17,205
x18_x7_x8,981
x7_x7_x84,248
x186_x32_x26,225
x83_x59_x88,215
x146_x178_x59,327
x13_x7_x30,285
x57_x7_x84,215
x26_x143_x74,210
x8_x95_x96,929
x73_x131_x170,222
x57_x7_x8,219
x186_x161_x114,207
x193_x194_x60,206
x73_x74_x186,304
x146_x32_x10,855
x8_x95_x154,512
x204_x196_x174,202
x95_x96_x191,214
x158_x181_x199,544
x7_x8_x83,226
x60_x4_x14,828
x74_x158_x181,401
x9_x55_x59,932
x16_x52_x73,547
x210_x211_x212,357
x12_x15_x95,246
x212_x36_x37,390
x89_x87_x60,215
x6_x30_x24,626
x55_x175_x173,406
x156_x177_x10,222
x16_x176_x121,782
x6_x7_x84,608
x31_x178_x59,214
x49_x95_x154,212
x163_x158_x201,344
x43_x37_x16,225
x9_x10_x26,233
x172_x173_x37,216
x176_x195_x196,206
x173_x49_x9,214
x181_x198_x204,206
x14_x13_x16,289
x82_x95_x146,202
x179_x180_x189,270
x181_x198_x131,427
